id,n1,n2
1,SDGX01,Solar SDGx01
2,PSF CASAS BLANCAS,Solar PAMA
3,SOLAR PSF LOMAS COLORADAS,Solar PSF Lomas Coloradas
4,ESPERANZA,Solar Esperanza
5,TAMBO REAL,Solar Tambo Real
6,SOLAR SANTA CECILIA,Solar Santa Cecilia
7,SOLAR LAS TERRAZAS,Solar Las Terrazas
8,SOLAR DIEGO DE ALMAGRO,Solar Diego de Almagro
9,SOLAR SAN ANDRES,Solar San Andrés
10,SOLAR LLANO DE LLAMPOS,Solar Llano de Llampos
11,LA HUAYCA SPS-1,LA HUAYCA II
12,POZO ALMONTE SOLAR 2,POZO ALMONTE SOLAR 2
13,POZO ALMONTE SOLAR 3,POZO ALMONTE SOLAR 3
14,MARIA ELENA,MARIA ELENA FV
15,SOLAR TECHOS DE ALTAMIRA,Solar Techos de Altamira
